Canonical_SMILES,AMES,BBB,Bioavailability,Caco2,Clearance_H.,Clearance_M.,CYP2C9_Sub.,CYP2C9_In.,CYP2D6_Sub.,CYP2D6_In.,CYP3A4_Sub.,CYP3A4_In.,DILI,Half_Life,hERG,HIA_Hou,LD50_Zhu,Lipophilicity,Pgp,PPBR,Solubility,VDss
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](OC(C)=O)[C@@H](N6CCCCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(=O)CC)CCCCC1,0.134070949,0.859480262,0.46977928,-5.075739999,51.11503117,47.72880078,0.192327475,0.102299758,0.177087381,0.172273376,0.670359179,0.354333393,0.221960111,13.80358778,0.676358883,0.658449187,2.743619629,2.228604564,0.8146053,88.38289663,-5.475981133,3.993035241
O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,0.36782525,0.746266987,0.848972057,-5.238262508,22.08270711,8.784032029,0.241046068,0.552173113,0.161838357,0.102501707,0.610990132,0.217893277,0.871450601,10.4555126,0.460258334,0.967368094,2.482409448,1.124971233,0.778289119,97.5243014,-3.1055372,1.984066219
CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,0.742312239,0.719934178,0.765221643,-5.468952918,33.02962788,25.20234195,0.225342589,0.165078669,0.168223762,0.060923134,0.616690069,0.193424318,0.875801729,47.00230842,0.268525338,0.954105842,2.795926292,2.179200205,0.250717349,87.16715849,-1.816876951,3.641641605
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,0.284889982,0.896297194,0.843996894,-5.056233784,31.97020487,21.15923007,0.197314264,0.788688892,0.172349183,0.119693894,0.613533359,0.492832741,0.87592584,9.980862463,0.314390479,0.96737155,2.677662606,3.3888865,0.874730941,98.76570179,-4.420586964,5.948309801
O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,0.337491906,0.684690896,0.825159267,-5.189043094,30.39033868,12.61758811,0.22699956,0.104238257,0.260663026,0.092019675,0.541493454,0.133998119,0.601725299,18.20936707,0.549890376,0.95848397,2.581338845,1.511663602,0.140662207,82.79413197,-1.273637116,1.674838321
CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,0.695081787,0.753357348,0.759900098,-5.115547533,37.75230903,33.31074587,0.231780284,0.663026886,0.202773307,0.105382674,0.643471282,0.554137001,0.855781703,163.31805,0.697838038,0.954110058,2.920404026,2.933038775,0.901065605,93.79698783,-4.370064056,4.093854854
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,0.456296708,0.68612667,0.748389303,-5.454890512,47.83250764,43.78457833,0.220488045,0.551675799,0.179184373,0.08174789,0.625378479,0.712750954,0.850174692,13.02024102,0.508306216,0.949225585,3.340866758,2.346708567,0.804158029,93.47092834,-3.20405004,3.065981837
COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,0.34491962,0.915404512,0.836608911,-4.950212299,42.89533555,37.7833109,0.234358481,0.715727669,0.150256441,0.133939203,0.674619021,0.632347354,0.761849035,13.7575568,0.715744301,0.967978304,2.767696692,3.020588626,0.908857359,95.51537156,-4.063664627,4.51324869
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)C=Cc2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,0.496136095,0.831842211,0.788432261,-5.126448237,31.94033842,71.19449443,0.187007896,0.328328375,0.37454627,0.169107009,0.621210481,0.528276646,0.741753338,12.03865585,0.783157187,0.957725859,2.931392935,2.808097865,0.877338555,90.50080965,-4.378619546,4.454272255
CC(=O)Oc1cccc(O)c1,0.133116577,0.931546045,0.844447054,-4.608540126,21.80077903,35.39942891,0.227925276,0.195791217,0.249890966,0.084630598,0.459239114,0.138201389,0.193796286,8.365058848,0.238585503,0.969364119,2.242696501,2.792188809,0.07376164,95.51361967,-1.523963311,1.867264318
C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2C[C@H]3CC[C@@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.127486784,0.88299083,0.717396017,-5.176475885,36.19771383,60.42481696,0.181542047,0.149917845,0.191094135,0.252267367,0.681661537,0.432672721,0.256449373,4.47242677,0.590899888,0.964882399,2.596490564,2.648793116,0.747173823,93.85425144,-4.532296611,3.396991595
CN(CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)C(=O)c1ccc(CN2CCC(C(N)=O)CC2)cc1,0.41795246,0.918380761,0.820930551,-5.247762573,25.42565611,38.01078274,0.198856524,0.35329177,0.32941146,0.52740838,0.568985846,0.459763463,0.327872534,19.31255378,0.82496815,0.963550242,2.746658438,2.837485482,0.939764855,93.09198108,-4.193894878,3.622218943
CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,0.672586947,0.886155699,0.829262232,-5.20941083,42.73630802,32.12259022,0.198093486,0.230407824,0.205627401,0.152343259,0.569865195,0.744197867,0.85228394,12.51862946,0.857657821,0.966459018,2.841424228,2.551606142,0.857797004,91.85981024,-3.472577647,5.593738978
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,0.805447752,0.73229942,0.82369489,-5.474986883,28.59105079,15.42689933,0.193426457,0.128197758,0.203106723,0.075493569,0.523212832,0.258286201,0.860336764,30.34803695,0.600302824,0.966453909,2.551741026,2.159115987,0.512812829,92.25491855,-2.097076946,3.085621783
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0.606385986,0.320053371,0.637719332,-5.380942952,40.72303712,52.41498296,0.189421195,0.328670498,0.154127316,0.088763994,0.592042169,0.69308904,0.82239964,34.05067185,0.746854001,0.949624426,2.686064892,2.144258063,0.805475813,89.63082393,-4.843213477,7.772734709
Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,0.457128849,0.901482076,0.851527653,-5.24951144,44.13602791,32.90441561,0.214033942,0.358704933,0.208583841,0.247721476,0.511928236,0.596204453,0.844521418,21.28499289,0.333775239,0.96737342,2.54925839,3.355249369,0.877386481,98.40657994,-4.461325192,5.103903279
CC(N)C12CC3CC(CC(C3)C1)C2,0.128924602,0.940531025,0.839758089,-4.652892239,20.52646433,23.47175112,0.210291265,0.117716132,0.213970039,0.181428534,0.49907046,0.163484302,0.12749376,11.81998483,0.24629353,0.967612555,2.223890019,1.933508005,0.09649067,91.20016725,-2.771618342,5.845887736
